#TYPE Microsoft.IIs.PowerShell.Framework.ConfigurationElement#site#application
"path","applicationPool","enabledProtocols","serviceAutoStartEnabled","serviceAutoStartProvider","preloadEnabled","virtualDirectoryDefaults","Collection","PSPath","Location","ConfigurationPathType","ItemXPath","PhysicalPath","Attributes","ChildElements","ElementTagName","Methods","Schema"
"/PRSBL","UKPRSApps","http","False","","True","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","System.Management.Automation.PSObject[]","MACHINE/WEBROOT/APPHOST","","Location","/system.applicationHost/sites/site[@name='Default Web Site' and @id='1']/application[@path='/PRSBL']","D:\bin_IBAMaster_UK2-S\BL\Applications\PRS\PRSBL","Microsoft.IIs.PowerShell.Framework.ConfigurationAttributeCollection","Microsoft.IIs.PowerShell.Framework.ConfigurationChildElementCollection","application",,"Microsoft.IIs.PowerShell.Framework.ConfigurationElementSchema"
"/CommonCheckTicketWeb","ASP.NET 4.0 64 BIT Integrated","http","False","","True","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","System.Management.Automation.PSObject[]","MACHINE/WEBROOT/APPHOST","","Location","/system.applicationHost/sites/site[@name='Default Web Site' and @id='1']/application[@path='/CommonCheckTicketWeb']","D:\bin_IBAMaster_UK2-S\BL\IBA\Authentication\CommonCheckTicketWeb","Microsoft.IIs.PowerShell.Framework.ConfigurationAttributeCollection","Microsoft.IIs.PowerShell.Framework.ConfigurationChildElementCollection","application",,"Microsoft.IIs.PowerShell.Framework.ConfigurationElementSchema"
"/CertificateBLLoginWeb","ASP.NET 4.0 64 BIT Integrated","http","False","","True","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","System.Management.Automation.PSObject[]","MACHINE/WEBROOT/APPHOST","","Location","/system.applicationHost/sites/site[@name='Default Web Site' and @id='1']/application[@path='/CertificateBLLoginWeb']","D:\bin_IBAMaster_UK2-S\BL\IBA\Authentication\CertificateBLLoginWeb","Microsoft.IIs.PowerShell.Framework.ConfigurationAttributeCollection","Microsoft.IIs.PowerShell.Framework.ConfigurationChildElementCollection","application",,"Microsoft.IIs.PowerShell.Framework.ConfigurationElementSchema"
"/IBAPasswordAuthenticationWeb","ASP.NET 4.0 64 BIT Integrated","http","False","","True","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","System.Management.Automation.PSObject[]","MACHINE/WEBROOT/APPHOST","","Location","/system.applicationHost/sites/site[@name='Default Web Site' and @id='1']/application[@path='/IBAPasswordAuthenticationWeb']","D:\bin_IBAMaster_UK2-S\BL\IBA\Authentication\IBAPasswordAuthenticationWeb","Microsoft.IIs.PowerShell.Framework.ConfigurationAttributeCollection","Microsoft.IIs.PowerShell.Framework.ConfigurationChildElementCollection","application",,"Microsoft.IIs.PowerShell.Framework.ConfigurationElementSchema"
"/AnonymousAuthenticationBLLoginWeb","ASP.NET 4.0 64 BIT Integrated","http","False","","True","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","System.Management.Automation.PSObject[]","MACHINE/WEBROOT/APPHOST","","Location","/system.applicationHost/sites/site[@name='Default Web Site' and @id='1']/application[@path='/AnonymousAuthenticationBLLoginWeb']","D:\bin_IBAMaster_UK2-S\BL\IBA\Authentication\AnonymousAuthenticationBLLoginWeb","Microsoft.IIs.PowerShell.Framework.ConfigurationAttributeCollection","Microsoft.IIs.PowerShell.Framework.ConfigurationChildElementCollection","application",,"Microsoft.IIs.PowerShell.Framework.ConfigurationElementSchema"
"/AOLBLLoginWeb","ASP.NET 4.0 64 BIT Integrated","http","False","","True","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","System.Management.Automation.PSObject[]","MACHINE/WEBROOT/APPHOST","","Location","/system.applicationHost/sites/site[@name='Default Web Site' and @id='1']/application[@path='/AOLBLLoginWeb']","D:\bin_IBAMaster_UK2-S\BL\IBA\Authentication\AOLBLLoginWeb","Microsoft.IIs.PowerShell.Framework.ConfigurationAttributeCollection","Microsoft.IIs.PowerShell.Framework.ConfigurationChildElementCollection","application",,"Microsoft.IIs.PowerShell.Framework.ConfigurationElementSchema"
"/CPNBLLoginWeb","ASP.NET 4.0 64 BIT Integrated","http","False","","True","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","System.Management.Automation.PSObject[]","MACHINE/WEBROOT/APPHOST","","Location","/system.applicationHost/sites/site[@name='Default Web Site' and @id='1']/application[@path='/CPNBLLoginWeb']","D:\bin_IBAMaster_UK2-S\BL\IBA\Authentication\CPNBLLoginWeb","Microsoft.IIs.PowerShell.Framework.ConfigurationAttributeCollection","Microsoft.IIs.PowerShell.Framework.ConfigurationChildElementCollection","application",,"Microsoft.IIs.PowerShell.Framework.ConfigurationElementSchema"
"/SkodaBLLoginWeb","ASP.NET 4.0 64 BIT Integrated","http","False","","True","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","System.Management.Automation.PSObject[]","MACHINE/WEBROOT/APPHOST","","Location","/system.applicationHost/sites/site[@name='Default Web Site' and @id='1']/application[@path='/SkodaBLLoginWeb']","D:\bin_IBAMaster_UK2-S\BL\IBA\Authentication\SkodaBLLoginWeb","Microsoft.IIs.PowerShell.Framework.ConfigurationAttributeCollection","Microsoft.IIs.PowerShell.Framework.ConfigurationChildElementCollection","application",,"Microsoft.IIs.PowerShell.Framework.ConfigurationElementSchema"
"/IBAPasswordEncryptionWeb","ASP.NET 4.0 64 BIT Integrated","http","False","","True","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","System.Management.Automation.PSObject[]","MACHINE/WEBROOT/APPHOST","","Location","/system.applicationHost/sites/site[@name='Default Web Site' and @id='1']/application[@path='/IBAPasswordEncryptionWeb']","D:\bin_IBAMaster_UK2-S\BL\IBA\Authentication\IBAPasswordEncryptionWeb","Microsoft.IIs.PowerShell.Framework.ConfigurationAttributeCollection","Microsoft.IIs.PowerShell.Framework.ConfigurationChildElementCollection","application",,"Microsoft.IIs.PowerShell.Framework.ConfigurationElementSchema"
"/DiagWeb","ASP.NET 4.0 64 BIT Integrated","http","False","","True","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","System.Management.Automation.PSObject[]","MACHINE/WEBROOT/APPHOST","","Location","/system.applicationHost/sites/site[@name='Default Web Site' and @id='1']/application[@path='/DiagWeb']","D:\bin_IBAMaster_UK2-S\BL\IBA\DiagWeb","Microsoft.IIs.PowerShell.Framework.ConfigurationAttributeCollection","Microsoft.IIs.PowerShell.Framework.ConfigurationChildElementCollection","application",,"Microsoft.IIs.PowerShell.Framework.ConfigurationElementSchema"
"/DiagBackendWeb","ASP.NET 4.0 64 BIT Integrated","http","False","","True","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","System.Management.Automation.PSObject[]","MACHINE/WEBROOT/APPHOST","","Location","/system.applicationHost/sites/site[@name='Default Web Site' and @id='1']/application[@path='/DiagBackendWeb']","D:\bin_IBAMaster_UK2-S\BL\IBA\DiagBackendWeb","Microsoft.IIs.PowerShell.Framework.ConfigurationAttributeCollection","Microsoft.IIs.PowerShell.Framework.ConfigurationChildElementCollection","application",,"Microsoft.IIs.PowerShell.Framework.ConfigurationElementSchema"
"/MomDiagWeb","ASP.NET 4.0 64 BIT Integrated","http","False","","True","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","System.Management.Automation.PSObject[]","MACHINE/WEBROOT/APPHOST","","Location","/system.applicationHost/sites/site[@name='Default Web Site' and @id='1']/application[@path='/MomDiagWeb']","D:\bin_IBAMaster_UK2-S\BL\IBA\MomDiagWeb","Microsoft.IIs.PowerShell.Framework.ConfigurationAttributeCollection","Microsoft.IIs.PowerShell.Framework.ConfigurationChildElementCollection","application",,"Microsoft.IIs.PowerShell.Framework.ConfigurationElementSchema"
"/FirstTimeBackendWebBase","ASP.NET 4.0 64 BIT Integrated","http","False","","True","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","System.Management.Automation.PSObject[]","MACHINE/WEBROOT/APPHOST","","Location","/system.applicationHost/sites/site[@name='Default Web Site' and @id='1']/application[@path='/FirstTimeBackendWebBase']","D:\bin_IBAMaster_UK2-S\BL\IBA\Authentication\FirstTimeBackendWebBase","Microsoft.IIs.PowerShell.Framework.ConfigurationAttributeCollection","Microsoft.IIs.PowerShell.Framework.ConfigurationChildElementCollection","application",,"Microsoft.IIs.PowerShell.Framework.ConfigurationElementSchema"
"/AEUserStatusWebBase","ASP.NET 4.0 64 BIT Integrated","http","False","","True","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","System.Management.Automation.PSObject[]","MACHINE/WEBROOT/APPHOST","","Location","/system.applicationHost/sites/site[@name='Default Web Site' and @id='1']/application[@path='/AEUserStatusWebBase']","D:\bin_IBAMaster_UK2-S\BL\IBA\Authentication\AEUserStatusWebBase","Microsoft.IIs.PowerShell.Framework.ConfigurationAttributeCollection","Microsoft.IIs.PowerShell.Framework.ConfigurationChildElementCollection","application",,"Microsoft.IIs.PowerShell.Framework.ConfigurationElementSchema"
"/CTILoggingBLWeb","ASP.NET 4.0 64 BIT Integrated","http","False","","True","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","System.Management.Automation.PSObject[]","MACHINE/WEBROOT/APPHOST","","Location","/system.applicationHost/sites/site[@name='Default Web Site' and @id='1']/application[@path='/CTILoggingBLWeb']","D:\bin_IBAMaster_UK2-S\BL\IBA\CTILoggingBLWeb","Microsoft.IIs.PowerShell.Framework.ConfigurationAttributeCollection","Microsoft.IIs.PowerShell.Framework.ConfigurationChildElementCollection","application",,"Microsoft.IIs.PowerShell.Framework.ConfigurationElementSchema"
"/IbaPassImageBLWeb","ASP.NET 4.0 64 BIT Integrated","http","False","","True","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","System.Management.Automation.PSObject[]","MACHINE/WEBROOT/APPHOST","","Location","/system.applicationHost/sites/site[@name='Default Web Site' and @id='1']/application[@path='/IbaPassImageBLWeb']","D:\bin_IBAMaster_UK2-S\BL\IBA\IbaPassImageBLWeb","Microsoft.IIs.PowerShell.Framework.ConfigurationAttributeCollection","Microsoft.IIs.PowerShell.Framework.ConfigurationChildElementCollection","application",,"Microsoft.IIs.PowerShell.Framework.ConfigurationElementSchema"
"/FinanceOnlineBL","UKApps","http","False","","True","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","System.Management.Automation.PSObject[]","MACHINE/WEBROOT/APPHOST","","Location","/system.applicationHost/sites/site[@name='Default Web Site' and @id='1']/application[@path='/FinanceOnlineBL']","D:\bin_IBAMaster_UK2-S\BL\Applications\FinanceOnline\FinanceOnlineBL","Microsoft.IIs.PowerShell.Framework.ConfigurationAttributeCollection","Microsoft.IIs.PowerShell.Framework.ConfigurationChildElementCollection","application",,"Microsoft.IIs.PowerShell.Framework.ConfigurationElementSchema"
"/EDMSBL","UKApps","http","False","","True","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","System.Management.Automation.PSObject[]","MACHINE/WEBROOT/APPHOST","","Location","/system.applicationHost/sites/site[@name='Default Web Site' and @id='1']/application[@path='/EDMSBL']","D:\bin_IBAMaster_UK2-S\BL\Applications\EDMS\EDMSBL","Microsoft.IIs.PowerShell.Framework.ConfigurationAttributeCollection","Microsoft.IIs.PowerShell.Framework.ConfigurationChildElementCollection","application",,"Microsoft.IIs.PowerShell.Framework.ConfigurationElementSchema"
"/CRDBL","UKApps","http","False","","True","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","System.Management.Automation.PSObject[]","MACHINE/WEBROOT/APPHOST","","Location","/system.applicationHost/sites/site[@name='Default Web Site' and @id='1']/application[@path='/CRDBL']","D:\bin_IBAMaster_UK2-S\BL\Applications\CRD\CRDBL","Microsoft.IIs.PowerShell.Framework.ConfigurationAttributeCollection","Microsoft.IIs.PowerShell.Framework.ConfigurationChildElementCollection","application",,"Microsoft.IIs.PowerShell.Framework.ConfigurationElementSchema"
"/MOBBL","ASP.NET 4.0 64 BIT Integrated","http,net.tcp","False","","True","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","System.Management.Automation.PSObject[]","MACHINE/WEBROOT/APPHOST","","Location","/system.applicationHost/sites/site[@name='Default Web Site' and @id='1']/application[@path='/MOBBL']","D:\bin_IBAMaster_UK2-S\BL\Applications\MOB\MobileWeb","Microsoft.IIs.PowerShell.Framework.ConfigurationAttributeCollection","Microsoft.IIs.PowerShell.Framework.ConfigurationChildElementCollection","application",,"Microsoft.IIs.PowerShell.Framework.ConfigurationElementSchema"
"/PointOfSale","ASP.NET 4.0 32 BIT Integrated","http,net.tcp","False","","True","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","System.Management.Automation.PSObject[]","MACHINE/WEBROOT/APPHOST","","Location","/system.applicationHost/sites/site[@name='Default Web Site' and @id='1']/application[@path='/PointOfSale']","D:\bin_IBAMaster_UK2-S\BL\Applications\PointOfSaleApi\PointOfSaleWeb","Microsoft.IIs.PowerShell.Framework.ConfigurationAttributeCollection","Microsoft.IIs.PowerShell.Framework.ConfigurationChildElementCollection","application",,"Microsoft.IIs.PowerShell.Framework.ConfigurationElementSchema"
"/POSRequestHandler","UKApps","http","False","","True","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","System.Management.Automation.PSObject[]","MACHINE/WEBROOT/APPHOST","","Location","/system.applicationHost/sites/site[@name='Default Web Site' and @id='1']/application[@path='/POSRequestHandler']","D:\bin_IBAMaster_UK2-S\BL\Applications\POS\POSRequestHandler","Microsoft.IIs.PowerShell.Framework.ConfigurationAttributeCollection","Microsoft.IIs.PowerShell.Framework.ConfigurationChildElementCollection","application",,"Microsoft.IIs.PowerShell.Framework.ConfigurationElementSchema"
